"","name","date_of_birth","date_of_death","official_cause_of_death","fame","age"
"52","Damien ""Damo"" Morris","1980-05-22","2007-12-19","Traffic collision","Member of Australian deathcore band the Red Shore","27 years, 211 days"
"53","Orish Grinstead","1980-06-02","2008-04-20","Kidney failure","Founding member of the R&B group 702","27 years, 323 days"
"54","Jade Goody","1981-06-05","2009-03-22","Cervical cancer","Reality-television personality","27 years, 290 days"
"55","Dash Snow","1981-07-27","2009-07-13","Drug overdose","Artist","27 years, 351 days"
"56","Amy Winehouse","1983-09-14","2011-07-23","Alcohol poisoning","Singer-songwriter","27 years, 312 days"
"57","Richard Turner","1984-07-30","2011-08-11","Cardiac arrest","Trumpet player, collaborator with Friendly Fires","27 years, 12 days"
"58","Anton Yelchin","1989-03-11","2016-06-19","Accidental blunt traumatic asphyxia","Actor, Chekov in the Star Trek reboot series","27 years, 100 days"
"59","Thomas Fekete","1988-07-01","2016-05-31","Cancer","Guitarist of Surfer Blood","27 years, 335 days"
"60","Kim Jong-hyun","1990-04-08","2017-12-18","Suicide by carbon monoxide poisoning","Vocalist and lyricist of Shinee","27 years, 254 days"
"61","Fredo Santana","1990-07-04","2018-01-19","Cardiovascular disease and idiopathic epilepsy","American rapper","27 years, 199 days"
"62","Benjamin Keough","1992-10-21","2020-07-12","Suicide by gunshot","Elvis Presley's grandson and son of Lisa Marie Presley and brother of Riley Keough","27 years, 265 days"
